,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,368xfrDbBaH_TzR7pn14CA,asian-211-bistro-middletown,Asian 211 Bistro,https://s3-media1.fl.yelpcdn.com/bphoto/CMoRiTpKoegjrvfJ_zPZ-A/o.jpg,False,https://www.yelp.com/biz/asian-211-bistro-middletown?adjust_creative=j2gs-vpnM4hK8ZdTnI9Z_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j2gs-vpnM4hK8ZdTnI9Z_w,96,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,"{'latitude': 41.4537, 'longitude': -74.40104}",['delivery'],$$,"{'address1': '254 Rt 211 E', 'address2': '', 'address3': '', 'city': 'Middletown', 'zip_code': '10940', 'country': 'US', 'state': 'NY', 'display_address': ['254 Rt 211 E', 'Middletown, NY 10940']}",8453431339,(845) 343-1339,882.7744067879905
1,IRymFHr_PutGpKHKCOeOdw,pho-sai-gon-middletown-3,Pho Sai Gon,https://s3-media2.fl.yelpcdn.com/bphoto/_M1NyLtB6R5EviDjACvFfw/o.jpg,False,https://www.yelp.com/biz/pho-sai-gon-middletown-3?adjust_creative=j2gs-vpnM4hK8ZdTnI9Z_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j2gs-vpnM4hK8ZdTnI9Z_w,44,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,"{'latitude': 41.45583, 'longitude': -74.43724}",['delivery'],,"{'address1': '211 Monhagen Ave', 'address2': None, 'address3': '', 'city': 'Middletown', 'zip_code': '10940', 'country': 'US', 'state': 'NY', 'display_address': ['211 Monhagen Ave', 'Middletown, NY 10940']}",8453431198,(845) 343-1198,2281.3977204029047
2,4BdGZKlZmQgljNDeNbHzAQ,san-cristobal-middletown,San Cristobal,https://s3-media2.fl.yelpcdn.com/bphoto/DphedsRXzl1t662UpidB4w/o.jpg,False,https://www.yelp.com/biz/san-cristobal-middletown?adjust_creative=j2gs-vpnM4hK8ZdTnI9Z_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j2gs-vpnM4hK8ZdTnI9Z_w,13,"[{'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 41.448902441366, 'longitude': -74.4143495782579}",['delivery'],$$,"{'address1': '52 Cottage St', 'address2': '', 'address3': '', 'city': 'Middletown', 'zip_code': '10940', 'country': 'US', 'state': 'NY', 'display_address': ['52 Cottage St', 'Middletown, NY 10940']}",8457754373,(845) 775-4373,345.4972419928619
3,4Xtzc4vIGCdWQEWYwATRrw,el-azteca-mexican-restaurant-middletown,El Azteca Mexican Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/gLV99GJytqnoMsunaY9qTQ/o.jpg,False,https://www.yelp.com/biz/el-azteca-mexican-restaurant-middletown?adjust_creative=j2gs-vpnM4hK8ZdTnI9Z_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j2gs-vpnM4hK8ZdTnI9Z_w,8,"[{'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 41.44923, 'longitude': -74.41845}",['delivery'],,"{'address1': '122-126 North St', 'address2': None, 'address3': '', 'city': 'Middletown', 'zip_code': '10940', 'country': 'US', 'state': 'NY', 'display_address': ['122-126 North St', 'Middletown, NY 10940']}",8453423448,(845) 342-3448,657.425145095503
4,0fylrH-NN5TCQv7kh_m2MA,peru-cuisine-bar-and-grill-middletown,Peru Cuisine Bar & Grill,https://s3-media4.fl.yelpcdn.com/bphoto/UR-WuoevAWiH8ONcIgZ0Ng/o.jpg,False,https://www.yelp.com/biz/peru-cuisine-bar-and-grill-middletown?adjust_creative=j2gs-vpnM4hK8ZdTnI9Z_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j2gs-vpnM4hK8ZdTnI9Z_w,56,"[{'alias': 'peruvian', 'title': 'Peruvian'}]",4.0,"{'latitude': 41.4517367401038, 'longitude': -74.369290121721}","['delivery', 'pickup']",$$,"{'address1': '1 N Galleria Dr', 'address2': '', 'address3': '', 'city': 'Middletown', 'zip_code': '10941', 'country': 'US', 'state': 'NY', 'display_address': ['1 N Galleria Dr', 'Middletown, NY 10941']}",8456736036,(845) 673-6036,3457.890302243127
5,TvxwxECsvfpKtHco9JQ3dA,frontera-tacos-and-tequila-middletown,Frontera Tacos & Tequila,https://s3-media2.fl.yelpcdn.com/bphoto/DiK-qyTsRBzKZgVCXoDfVQ/o.jpg,False,https://www.yelp.com/biz/frontera-tacos-and-tequila-middletown?adjust_creative=j2gs-vpnM4hK8ZdTnI9Z_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j2gs-vpnM4hK8ZdTnI9Z_w,92,"[{'alias': 'newmexican', 'title': 'New Mexican Cuisine'}, {'alias': 'mexican', 'title': 'Mexican'}]",3.5,"{'latitude': 41.4551912, 'longitude': -74.3943618}","['delivery', 'pickup']",$$,"{'address1': '340 Route 211 E', 'address2': None, 'address3': '', 'city': 'Middletown', 'zip_code': '10940', 'country': 'US', 'state': 'NY', 'display_address': ['340 Route 211 E', 'Middletown, NY 10940']}",8453940045,(845) 394-0045,1464.122369506302
6,LpFLkJ4QRr2IKRDhq9zOAA,ruben-jrs-supermarket-and-deli-middletown,Ruben Jrs Supermarket & Deli,https://s3-media2.fl.yelpcdn.com/bphoto/l3M3ffbdPWcyP0Hooq-FLg/o.jpg,False,https://www.yelp.com/biz/ruben-jrs-supermarket-and-deli-middletown?adjust_creative=j2gs-vpnM4hK8ZdTnI9Z_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j2gs-vpnM4hK8ZdTnI9Z_w,14,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 41.45142, 'longitude': -74.41153}",['delivery'],,"{'address1': '100 Cottage St', 'address2': '', 'address3': '', 'city': 'Middletown', 'zip_code': '10940', 'country': 'US', 'state': 'NY', 'display_address': ['100 Cottage St', 'Middletown, NY 10940']}",8453425813,(845) 342-5813,124.10577491379334
7,1SWcEAluPa5HF8EMtRBrNQ,tony-boffas-restaurant-middletown-3,Tony Boffa's Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/lvCIOBq0QR56FKoijdBYlw/o.jpg,False,https://www.yelp.com/biz/tony-boffas-restaurant-middletown-3?adjust_creative=j2gs-vpnM4hK8ZdTnI9Z_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j2gs-vpnM4hK8ZdTnI9Z_w,83,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,"{'latitude': 41.44655, 'longitude': -74.41258}","['delivery', 'pickup']",$$,"{'address1': '75 Railroad Ave', 'address2': '', 'address3': '', 'city': 'Middletown', 'zip_code': '10940', 'country': 'US', 'state': 'NY', 'display_address': ['75 Railroad Ave', 'Middletown, NY 10940']}",8453438842,(845) 343-8842,470.79575390742804
8,yV4tF4TCuoRy-jEJSZQTfA,hanami-japanese-cuisine-middletown,Hanami Japanese Cuisine,https://s3-media4.fl.yelpcdn.com/bphoto/WGBLs8VY0Nj5TMyIUB2A4w/o.jpg,False,https://www.yelp.com/biz/hanami-japanese-cuisine-middletown?adjust_creative=j2gs-vpnM4hK8ZdTnI9Z_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j2gs-vpnM4hK8ZdTnI9Z_w,66,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.0,"{'latitude': 41.445014923811, 'longitude': -74.4207738339901}","['delivery', 'pickup']",$$,"{'address1': '21 W Main St', 'address2': None, 'address3': '', 'city': 'Middletown', 'zip_code': '10940', 'country': 'US', 'state': 'NY', 'display_address': ['21 W Main St', 'Middletown, NY 10940']}",8453423208,(845) 342-3208,1020.6505925708072
9,_X2cPik_LbPY7g58Q0y45w,caputos-pizza-middletown-2,Caputo's Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/pflnGhLvBLO7e9MkGDFAYw/o.jpg,False,https://www.yelp.com/biz/caputos-pizza-middletown-2?adjust_creative=j2gs-vpnM4hK8ZdTnI9Z_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j2gs-vpnM4hK8ZdTnI9Z_w,18,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'wraps', 'title': 'Wraps'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 41.44654, 'longitude': -74.42131}",['delivery'],,"{'address1': '36-42 James St', 'address2': '', 'address3': None, 'city': 'Middletown', 'zip_code': '10940', 'country': 'US', 'state': 'NY', 'display_address': ['36-42 James St', 'Middletown, NY 10940']}",8453421222,(845) 342-1222,968.011078618424
